Starting_point_id,Dropping_point_id,Pickup_datetime,Pickup_time,Pickup_time_min,Distance,Duration,Weekday
1,3,2020-02-26 20:49:34,20:49:34,1249,8815,53,Wednesday
3,1,2020-02-26 20:49:35,20:49:35,1249,8086,36,Wednesday
1,3,2020-02-26 20:57:32,20:57:32,1257,8815,47,Wednesday
1,4,2020-02-26 20:57:32,20:57:32,1257,19844,54,Wednesday
1,5,2020-02-26 20:57:33,20:57:33,1257,11149,38,Wednesday
1,8,2020-02-26 20:57:33,20:57:33,1257,12758,43,Wednesday
3,1,2020-02-26 20:57:34,20:57:34,1257,8086,37,Wednesday
3,4,2020-02-26 20:57:34,20:57:34,1257,18892,43,Wednesday
3,5,2020-02-26 20:57:34,20:57:34,1257,10226,30,Wednesday
3,8,2020-02-26 20:57:35,20:57:35,1257,12620,41,Wednesday
4,1,2020-02-26 20:57:35,20:57:35,1257,18553,67,Wednesday
4,3,2020-02-26 20:57:35,20:57:35,1257,17618,52,Wednesday
4,5,2020-02-26 20:57:36,20:57:36,1257,12231,41,Wednesday
4,8,2020-02-26 20:57:36,20:57:36,1257,10084,33,Wednesday
5,1,2020-02-26 20:57:36,20:57:36,1257,8792,32,Wednesday
5,3,2020-02-26 20:57:36,20:57:36,1257,9795,45,Wednesday
5,4,2020-02-26 20:57:36,20:57:36,1257,12350,31,Wednesday
5,8,2020-02-26 20:57:37,20:57:37,1257,4631,24,Wednesday
8,1,2020-02-26 20:57:38,20:57:38,1257,10728,35,Wednesday
8,3,2020-02-26 20:57:38,20:57:38,1257,12060,56,Wednesday
8,4,2020-02-26 20:57:38,20:57:38,1257,10778,29,Wednesday
8,5,2020-02-26 20:57:38,20:57:38,1257,3473,21,Wednesday
1,3,2020-02-26 21:27:38,21:27:38,1287,8815,48,Wednesday
1,4,2020-02-26 21:27:39,21:27:39,1287,18158,50,Wednesday
1,5,2020-02-26 21:27:40,21:27:40,1287,9463,38,Wednesday
1,8,2020-02-26 21:27:40,21:27:40,1287,9971,43,Wednesday
3,1,2020-02-26 21:27:41,21:27:41,1287,8086,35,Wednesday
3,4,2020-02-26 21:27:41,21:27:41,1287,18892,43,Wednesday
3,5,2020-02-26 21:27:42,21:27:42,1287,10226,32,Wednesday
3,8,2020-02-26 21:27:42,21:27:42,1287,12620,40,Wednesday
4,1,2020-02-26 21:27:43,21:27:43,1287,18553,60,Wednesday
4,3,2020-02-26 21:27:43,21:27:43,1287,17618,46,Wednesday
4,5,2020-02-26 21:27:43,21:27:43,1287,12231,37,Wednesday
4,8,2020-02-26 21:27:43,21:27:43,1287,10084,32,Wednesday
5,1,2020-02-26 21:27:44,21:27:44,1287,8792,28,Wednesday
5,3,2020-02-26 21:27:44,21:27:44,1287,11321,43,Wednesday
5,4,2020-02-26 21:27:44,21:27:44,1287,12350,29,Wednesday
5,8,2020-02-26 21:27:44,21:27:44,1287,4631,21,Wednesday
8,1,2020-02-26 21:27:44,21:27:44,1287,9282,31,Wednesday
8,3,2020-02-26 21:27:45,21:27:45,1287,12560,53,Wednesday
8,4,2020-02-26 21:27:45,21:27:45,1287,10778,29,Wednesday
8,5,2020-02-26 21:27:45,21:27:45,1287,3473,20,Wednesday
1,3,2020-02-26 21:57:45,21:57:45,1317,8815,42,Wednesday
1,4,2020-02-26 21:57:46,21:57:46,1317,19844,50,Wednesday
1,5,2020-02-26 21:57:46,21:57:46,1317,11149,36,Wednesday
1,8,2020-02-26 21:57:47,21:57:47,1317,9971,40,Wednesday
3,1,2020-02-26 21:57:47,21:57:47,1317,8086,32,Wednesday
3,4,2020-02-26 21:57:48,21:57:48,1317,18892,43,Wednesday
3,5,2020-02-26 21:57:48,21:57:48,1317,10226,31,Wednesday
3,8,2020-02-26 21:57:48,21:57:48,1317,12620,39,Wednesday
4,1,2020-02-26 21:57:49,21:57:49,1317,19471,48,Wednesday
4,3,2020-02-26 21:57:49,21:57:49,1317,17618,44,Wednesday
4,5,2020-02-26 21:57:49,21:57:49,1317,12231,30,Wednesday
