Starting_point_id,Dropping_point_id,Pickup_datetime,Distance_text,Distance_value,Duration_text,Duration_value,Duration_in_traffic_text,Duration_in_traffic_value,Weekday
1,3,2020-08-29 11:49:05,8.8 km,8804,23 mins,1401,25 mins,1522,Saturday
3,1,2020-08-29 11:49:39,8.1 km,8086,21 mins,1249,23 mins,1404,Saturday
1,2,2020-09-02 11:59:46,4.0 km,3973,10 mins,621,11 mins,677,Wednesday
1,3,2020-09-02 11:59:47,8.9 km,8934,24 mins,1415,25 mins,1478,Wednesday
1,4,2020-09-02 11:59:48,18.8 km,18831,33 mins,2004,37 mins,2232,Wednesday
1,5,2020-09-02 11:59:48,10.2 km,10174,28 mins,1663,30 mins,1808,Wednesday
1,6,2020-09-02 11:59:49,14.2 km,14245,28 mins,1652,29 mins,1757,Wednesday
1,7,2020-09-02 11:59:50,2.1 km,2058,7 mins,395,12 mins,693,Wednesday
2,1,2020-09-02 11:59:51,4.2 km,4159,14 mins,815,16 mins,969,Wednesday
2,3,2020-09-02 11:59:51,5.0 km,4961,13 mins,794,14 mins,835,Wednesday
2,4,2020-09-02 11:59:51,15.2 km,15249,24 mins,1412,26 mins,1561,Wednesday
2,5,2020-09-02 11:59:51,6.6 km,6592,18 mins,1072,20 mins,1221,Wednesday
2,6,2020-09-02 11:59:52,10.7 km,10662,18 mins,1061,19 mins,1161,Wednesday
2,7,2020-09-02 11:59:52,3.9 km,3947,12 mins,703,19 mins,1142,Wednesday
3,1,2020-09-02 11:59:53,8.3 km,8334,22 mins,1344,29 mins,1733,Wednesday
3,2,2020-09-02 11:59:53,4.3 km,4337,11 mins,687,15 mins,892,Wednesday
3,4,2020-09-02 11:59:53,18.5 km,18543,32 mins,1921,38 mins,2297,Wednesday
3,5,2020-09-02 11:59:54,9.9 km,9885,26 mins,1580,33 mins,1969,Wednesday
3,6,2020-09-02 11:59:54,14.0 km,13956,26 mins,1569,32 mins,1909,Wednesday
3,7,2020-09-02 11:59:55,8.1 km,8122,21 mins,1232,31 mins,1867,Wednesday
4,1,2020-09-02 11:59:56,22.1 km,22091,46 mins,2746,56 mins,3372,Wednesday
4,2,2020-09-02 11:59:56,15.8 km,15789,27 mins,1633,38 mins,2251,Wednesday
4,3,2020-09-02 11:59:56,19.2 km,19156,45 mins,2676,44 mins,2616,Wednesday
4,5,2020-09-02 11:59:56,12.3 km,12252,24 mins,1438,34 mins,2060,Wednesday
4,6,2020-09-02 11:59:56,7.2 km,7240,14 mins,854,20 mins,1220,Wednesday
4,7,2020-09-02 11:59:57,20.2 km,20191,40 mins,2414,49 mins,2916,Wednesday
5,1,2020-09-02 11:59:57,8.2 km,8182,23 mins,1367,32 mins,1919,Wednesday
5,2,2020-09-02 11:59:58,5.8 km,5813,17 mins,1018,21 mins,1260,Wednesday
5,3,2020-09-02 11:59:58,9.8 km,9778,28 mins,1653,33 mins,1968,Wednesday
5,4,2020-09-02 11:59:58,12.3 km,12347,25 mins,1477,26 mins,1553,Wednesday
5,6,2020-09-02 11:59:59,7.8 km,7760,19 mins,1125,19 mins,1152,Wednesday
5,7,2020-09-02 12:00:00,6.3 km,6282,17 mins,1035,25 mins,1498,Wednesday
6,1,2020-09-02 12:00:01,14.7 km,14675,38 mins,2252,42 mins,2512,Wednesday
6,2,2020-09-02 12:00:01,13.0 km,12990,24 mins,1428,29 mins,1758,Wednesday
6,3,2020-09-02 12:00:01,17.0 km,16956,34 mins,2063,40 mins,2380,Wednesday
6,4,2020-09-02 12:00:02,4.7 km,4715,8 mins,502,10 mins,578,Wednesday
6,5,2020-09-02 12:00:02,9.5 km,9453,21 mins,1233,26 mins,1570,Wednesday
6,7,2020-09-02 12:00:03,13.3 km,13301,33 mins,1996,40 mins,2397,Wednesday
7,1,2020-09-02 12:00:03,2.6 km,2645,9 mins,535,12 mins,720,Wednesday
