Starting_locationID,Dropping_locationID,Weekday,Degree,Intercept,Power_1,Power_2,Power_3,Power_4,Power_5,Power_6,Power_7,Power_8,Power_9,Power_10,Power_11,Power_12,Power_13,Power_14,Power_15,Power_16,Power_17,Power_18,Power_19,Power_20
4,45,Saturday,18,8.776550073,3.60E-84,2.40E-47,8.95E-52,2.80E-55,-3.98E-59,6.92E-69,4.30E-66,3.92E-63,3.45E-60,2.91E-57,2.30E-54,1.67E-51,1.07E-48,5.46E-46,1.75E-43,-3.88E-46,2.87E-49,-7.07E-53,,
4,45,Friday,4,11.4142222,-0.014625775,3.97E-05,-3.64E-08,1.13E-11,,,,,,,,,,,,,,,,
4,48,Saturday,6,20.10153819,-1.53E-06,-0.000217094,8.10E-07,-1.06E-09,6.10E-13,-1.32E-16,,,,,,,,,,,,,,
4,48,Sunday,6,21.42102396,-1.57E-06,-0.000217593,6.92E-07,-7.82E-10,3.76E-13,-6.61E-17,,,,,,,,,,,,,,
4,68,Saturday,4,16.785257,-0.034433878,9.68E-05,-7.52E-08,1.73E-11,,,,,,,,,,,,,,,,
4,68,Sunday,6,15.89097637,-6.59E-07,-9.44E-05,3.22E-07,-3.99E-10,2.19E-13,-4.58E-17,,,,,,,,,,,,,,
4,68,Tuesday,4,13.75364331,-0.024506563,0.000115996,-1.30E-07,4.26E-11,,,,,,,,,,,,,,,,
4,68,Wednesday,8,12.99711386,7.89E-18,-3.34E-12,1.11E-12,2.12E-10,-2.10E-13,-2.52E-16,3.80E-19,-1.22E-22,,,,,,,,,,,,
4,68,Thursday,8,12.66291422,3.43E-17,-2.57E-11,4.48E-12,8.39E-10,-2.87E-12,3.73E-15,-2.16E-18,4.66E-22,,,,,,,,,,,,
4,68,Friday,4,15.46438953,-0.006449077,5.84E-05,-7.37E-08,2.61E-11,,,,,,,,,,,,,,,,
4,79,Saturday,6,5.035708304,-3.63E-07,-5.50E-05,2.23E-07,-3.33E-10,2.19E-13,-5.32E-17,,,,,,,,,,,,,,
4,79,Sunday,6,5.46601742,-5.19E-07,-7.51E-05,2.75E-07,-3.80E-10,2.32E-13,-5.26E-17,,,,,,,,,,,,,,
4,79,Monday,18,4.386378638,3.54E-86,2.45E-49,2.17E-53,-9.98E-58,-3.11E-61,8.25E-71,5.12E-68,4.67E-65,4.10E-62,3.44E-59,2.72E-56,1.97E-53,1.25E-50,6.36E-48,2.03E-45,-5.74E-48,5.11E-51,-1.47E-54,,
4,79,Tuesday,4,5.449019611,-0.010407813,2.71E-05,-2.43E-08,7.00E-12,,,,,,,,,,,,,,,,
4,79,Wednesday,2,3.21251412,0.004068685,-2.27E-06,,,,,,,,,,,,,,,,,,
4,79,Thursday,2,3.564095066,0.003578052,-2.01E-06,,,,,,,,,,,,,,,,,,
4,79,Friday,2,3.861539638,0.002821651,-1.15E-06,,,,,,,,,,,,,,,,,,
4,87,Saturday,8,9.752584867,-1.71E-17,7.61E-13,-2.29E-12,-4.28E-10,1.55E-12,-2.06E-15,1.18E-18,-2.52E-22,,,,,,,,,,,,
4,87,Sunday,2,12.11917205,-0.009812507,6.57E-06,,,,,,,,,,,,,,,,,,
4,87,Tuesday,10,11.33319298,-2.12E-38,6.68E-26,-1.21E-31,-8.56E-30,-4.81E-27,-2.17E-24,-6.19E-22,3.13E-23,-4.42E-26,1.57E-29,,,,,,,,,,
4,87,Thursday,2,6.704186573,0.013907889,-8.01E-06,,,,,,,,,,,,,,,,,,
4,87,Friday,2,9.314246202,0.007658943,-4.60E-06,,,,,,,,,,,,,,,,,,
4,90,Saturday,8,11.82939609,-1.96E-17,2.95E-11,-2.64E-12,-4.97E-10,1.94E-12,-2.70E-15,1.61E-18,-3.52E-22,,,,,,,,,,,,
4,90,Sunday,4,14.89792709,-0.033904965,7.53E-05,-5.17E-08,9.72E-12,,,,,,,,,,,,,,,,
4,90,Tuesday,6,11.84163962,-4.98E-07,-8.80E-05,3.85E-07,-5.60E-10,3.41E-13,-7.52E-17,,,,,,,,,,,,,,
4,90,Wednesday,6,7.854336036,-1.64E-07,-2.58E-05,3.08E-07,-5.90E-10,4.21E-13,-1.05E-16,,,,,,,,,,,,,,
4,90,Thursday,10,12.21190492,5.01E-36,-2.69E-23,-2.20E-28,2.52E-27,1.48E-24,6.91E-22,2.02E-19,-4.45E-22,3.28E-25,-8.08E-29,,,,,,,,,,
4,90,Friday,4,11.50589307,-0.025133865,9.54E-05,-9.20E-08,2.71E-11,,,,,,,,,,,,,,,,
4,107,Saturday,4,7.616209602,-0.013230725,2.62E-05,-1.32E-08,9.79E-13,,,,,,,,,,,,,,,,
4,107,Sunday,6,8.097430783,-4.94E-07,-7.11E-05,1.88E-07,-1.61E-10,4.26E-14,1.71E-18,,,,,,,,,,,,,,
4,107,Monday,16,6.913443043,-1.09E-74,-1.54E-43,1.60E-48,-2.35E-52,7.33E-68,-1.60E-59,-1.02E-56,-8.21E-54,-6.22E-51,-4.32E-48,-2.64E-45,-1.29E-42,-3.98E-40,8.57E-42,-1.24E-44,4.60E-48,,,,
4,107,Tuesday,8,5.214295946,1.02E-17,-2.20E-11,1.57E-12,3.03E-10,-9.66E-13,1.17E-15,-6.26E-19,1.25E-22,,,,,,,,,,,,
4,107,Wednesday,8,5.305889716,1.05E-17,6.82E-12,1.55E-12,2.99E-10,-1.03E-12,1.37E-15,-8.02E-19,1.76E-22,,,,,,,,,,,,
4,107,Thursday,10,7.085316892,2.09E-36,-6.26E-25,-5.26E-28,9.58E-28,5.46E-25,2.49E-22,7.15E-20,-1.67E-22,1.31E-25,-3.46E-29,,,,,,,,,,
4,107,Friday,6,6.06138974,-2.48E-07,-4.38E-05,2.63E-07,-4.69E-10,3.39E-13,-8.70E-17,,,,,,,,,,,,,,
4,113,Saturday,4,13.53860715,-0.044352892,9.11E-05,-6.13E-08,1.25E-11,,,,,,,,,,,,,,,,
4,113,Sunday,4,9.669043281,-0.010418365,1.21E-05,3.34E-09,-5.57E-12,,,,,,,,,,,,,,,,
4,113,Monday,18,8.426388795,1.54E-84,-3.25E-47,1.24E-52,3.45E-56,-7.10E-81,3.34E-69,1.98E-66,1.75E-63,1.49E-60,1.21E-57,9.28E-55,6.51E-52,4.01E-49,1.98E-46,6.15E-44,-1.49E-46,1.19E-49,-3.18E-53,,
4,113,Tuesday,2,8.549965491,-0.000220788,4.64E-07,,,,,,,,,,,,,,,,,,
4,113,Wednesday,6,7.550140736,-2.99E-07,-5.53E-05,2.87E-07,-4.88E-10,3.45E-13,-8.73E-17,,,,,,,,,,,,,,
4,113,Thursday,16,9.300361304,-4.75E-72,-3.39E-41,-1.29E-45,3.82E-50,-2.09E-53,-6.87E-57,-4.27E-54,-3.44E-51,-2.60E-48,-1.81E-45,-1.10E-42,-5.41E-40,-1.66E-37,4.03E-40,-3.23E-43,8.59E-47,,,,
4,113,Friday,4,7.130952768,0.011446318,-3.45E-05,4.21E-08,-1.57E-11,,,,,,,,,,,,,,,,
4,114,Saturday,4,8.93651138,-0.014337858,1.71E-05,3.14E-09,-5.60E-12,,,,,,,,,,,,,,,,
4,114,Sunday,4,10.36509378,-0.011423635,-1.57E-06,2.24E-08,-1.25E-11,,,,,,,,,,,,,,,,
4,114,Monday,4,7.805788267,-0.032942132,9.83E-05,-9.89E-08,3.23E-11,,,,,,,,,,,,,,,,
4,114,Tuesday,2,4.878954087,0.005502223,-2.99E-06,,,,,,,,,,,,,,,,,,
4,114,Wednesday,4,10.51569861,-0.028115444,5.95E-05,-4.84E-08,1.38E-11,,,,,,,,,,,,,,,,
4,114,Thursday,4,7.525781786,-0.015766422,4.29E-05,-3.84E-08,1.14E-11,,,,,,,,,,,,,,,,
4,114,Friday,18,6.948698718,7.05E-85,-5.52E-47,2.08E-52,1.09E-56,5.23E-80,1.84E-69,1.22E-66,1.12E-63,9.97E-61,8.45E-58,6.73E-55,4.92E-52,3.15E-49,1.62E-46,5.21E-44,-1.12E-46,7.98E-50,-1.91E-53,,
4,137,Saturday,2,7.50973244,-0.000307165,1.73E-06,,,,,,,,,,,,,,,,,,
4,137,Sunday,6,9.277403781,-6.27E-07,-8.92E-05,2.49E-07,-2.41E-10,9.13E-14,-1.04E-17,,,,,,,,,,,,,,
4,137,Monday,8,6.240787311,5.51E-18,1.62E-12,8.67E-13,1.69E-10,-4.74E-13,4.87E-16,-2.12E-19,3.19E-23,,,,,,,,,,,,
4,137,Tuesday,12,7.890430736,4.97E-48,3.10E-29,9.43E-34,2.47E-38,2.61E-36,1.74E-33,1.02E-30,4.84E-28,1.44E-25,-3.32E-28,2.54E-31,-6.45E-35,,,,,,,,
4,137,Wednesday,18,8.878447453,3.15E-85,-1.52E-48,-2.84E-52,2.88E-57,2.25E-80,8.01E-70,5.23E-67,4.82E-64,4.27E-61,3.61E-58,2.87E-55,2.09E-52,1.34E-49,6.85E-47,2.20E-44,-4.70E-47,3.34E-50,-7.89E-54,,
4,137,Thursday,2,3.692100025,0.014789638,-8.12E-06,,,,,,,,,,,,,,,,,,
4,137,Friday,4,7.901510775,-0.015474781,5.16E-05,-4.18E-08,9.30E-12,,,,,,,,,,,,,,,,
4,140,Sunday,16,11.46976951,3.76E-71,-7.37E-40,3.19E-45,1.84E-49,7.48E-67,3.12E-56,2.00E-53,1.59E-50,1.20E-47,8.28E-45,5.04E-42,2.47E-39,7.59E-37,-1.74E-39,1.33E-42,-3.37E-46,,,,
4,141,Saturday,4,14.16408838,-0.026358513,7.23E-05,-5.92E-08,1.54E-11,,,,,,,,,,,,,,,,
4,141,Sunday,8,14.28413804,-6.38E-17,-4.02E-11,-6.73E-12,-1.22E-09,4.51E-12,-6.08E-15,3.56E-18,-7.69E-22,,,,,,,,,,,,
4,144,Saturday,6,9.339375909,-4.91E-07,-7.56E-05,2.03E-07,-1.76E-10,5.15E-14,-1.27E-18,,,,,,,,,,,,,,
4,144,Sunday,4,10.4527928,-0.017187088,2.43E-05,-7.25E-09,-1.74E-12,,,,,,,,,,,,,,,,
4,144,Tuesday,2,7.492621394,0.006618604,-5.04E-06,,,,,,,,,,,,,,,,,,
4,144,Wednesday,16,8.918886867,1.48E-72,-8.28E-42,-4.64E-46,-6.97E-50,3.47E-68,2.40E-57,1.60E-54,1.33E-51,1.03E-48,7.38E-46,4.63E-43,2.33E-40,7.34E-38,-1.68E-40,1.28E-43,-3.25E-47,,,,
4,144,Thursday,2,6.538493089,0.00575779,-2.58E-06,,,,,,,,,,,,,,,,,,
4,144,Friday,2,6.44476785,0.007290271,-3.33E-06,,,,,,,,,,,,,,,,,,
4,148,Saturday,4,9.2202599,-0.031414738,6.78E-05,-5.38E-08,1.50E-11,,,,,,,,,,,,,,,,
4,148,Sunday,6,8.48380723,-1.22E-06,-0.000169844,6.24E-07,-8.71E-10,5.38E-13,-1.24E-16,,,,,,,,,,,,,,
4,148,Monday,4,6.029170467,-0.020379445,4.86E-05,-3.47E-08,6.81E-12,,,,,,,,,,,,,,,,
4,148,Tuesday,10,5.576904178,1.67E-36,4.08E-24,3.05E-29,7.52E-28,4.29E-25,1.96E-22,5.63E-20,-1.32E-22,1.02E-25,-2.63E-29,,,,,,,,,,
4,148,Wednesday,18,5.221498777,2.95E-85,1.00E-47,-3.53E-52,-6.53E-57,1.03E-80,6.65E-70,4.47E-67,4.11E-64,3.65E-61,3.10E-58,2.47E-55,1.80E-52,1.16E-49,5.95E-47,1.92E-44,-4.23E-47,3.11E-50,-7.59E-54,,
4,148,Thursday,8,5.066662558,-4.34E-18,-7.83E-12,-5.97E-13,-1.14E-10,4.76E-13,-6.90E-16,4.25E-19,-9.58E-23,,,,,,,,,,,,
4,148,Friday,6,5.337286859,-2.78E-07,-4.65E-05,1.97E-07,-2.79E-10,1.65E-13,-3.46E-17,,,,,,,,,,,,,,
4,158,Saturday,6,16.269008,-1.36E-06,-0.000186833,6.48E-07,-8.10E-10,4.40E-13,-8.83E-17,,,,,,,,,,,,,,
4,158,Sunday,6,15.03953573,-7.26E-07,-9.92E-05,3.01E-07,-3.22E-10,1.39E-13,-1.90E-17,,,,,,,,,,,,,,
4,162,Saturday,4,12.25481073,-0.020584735,4.23E-05,-2.10E-08,1.80E-12,,,,,,,,,,,,,,,,
4,162,Friday,4,10.37277074,-0.035493482,0.000166675,-1.92E-07,6.54E-11,,,,,,,,,,,,,,,,
4,164,Saturday,2,11.75748721,0.000669708,3.17E-06,,,,,,,,,,,,,,,,,,
4,164,Sunday,4,14.65752206,-0.027815628,7.27E-05,-6.42E-08,1.83E-11,,,,,,,,,,,,,,,,
4,164,Friday,6,12.12779195,-5.56E-07,-9.55E-05,5.36E-07,-9.00E-10,6.19E-13,-1.53E-16,,,,,,,,,,,,,,
4,170,Saturday,4,10.98337375,-0.019366965,4.06E-05,-1.84E-08,-2.45E-13,,,,,,,,,,,,,,,,
4,170,Sunday,10,10.05429092,2.49E-36,4.85E-24,-4.73E-28,8.24E-28,4.53E-25,2.02E-22,5.71E-20,-1.18E-22,8.09E-26,-1.83E-29,,,,,,,,,,
4,170,Monday,8,8.788191638,5.40E-18,2.74E-11,9.71E-13,1.98E-10,-4.45E-13,3.69E-16,-1.34E-19,1.76E-23,,,,,,,,,,,,
4,170,Tuesday,8,9.94177591,7.76E-18,1.40E-11,1.14E-12,2.18E-10,-5.59E-13,5.36E-16,-2.25E-19,3.38E-23,,,,,,,,,,,,
4,170,Wednesday,4,8.365312321,-0.026671915,0.00013557,-1.46E-07,4.47E-11,,,,,,,,,,,,,,,,
4,170,Thursday,4,11.69739882,-0.030830985,0.000117416,-1.12E-07,3.10E-11,,,,,,,,,,,,,,,,
4,170,Friday,8,8.058447471,2.65E-17,-2.50E-11,3.69E-12,7.12E-10,-2.32E-12,2.88E-15,-1.60E-18,3.34E-22,,,,,,,,,,,,
4,186,Saturday,6,15.06603607,-1.52E-06,-0.000248643,1.02E-06,-1.48E-09,9.19E-13,-2.11E-16,,,,,,,,,,,,,,
4,186,Sunday,6,16.89827318,-1.61E-06,-0.000241454,8.51E-07,-1.09E-09,6.05E-13,-1.26E-16,,,,,,,,,,,,,,
4,186,Thursday,12,17.80340829,1.25E-47,-2.34E-29,-1.85E-33,-2.78E-37,7.31E-36,4.97E-33,2.97E-30,1.42E-27,4.28E-25,-9.61E-28,7.19E-31,-1.79E-34,,,,,,,,
4,186,Friday,6,12.56954219,-1.73E-06,-0.000307272,1.50E-06,-2.41E-09,1.63E-12,-3.99E-16,,,,,,,,,,,,,,
4,211,Saturday,4,12.35718693,-0.035096855,8.13E-05,-6.08E-08,1.47E-11,,,,,,,,,,,,,,,,
4,211,Sunday,6,10.68608614,-2.69E-07,-3.59E-05,1.87E-08,1.20E-10,-1.57E-13,5.40E-17,,,,,,,,,,,,,,
4,211,Friday,10,9.473271283,2.50E-36,-6.85E-24,2.25E-28,1.12E-27,6.45E-25,2.98E-22,8.67E-20,-1.90E-22,1.38E-25,-3.37E-29,,,,,,,,,,
4,224,Saturday,8,3.892550288,-8.95E-18,-5.70E-12,-1.24E-12,-2.36E-10,9.02E-13,-1.25E-15,7.55E-19,-1.68E-22,,,,,,,,,,,,
4,224,Sunday,8,4.49049156,-8.36E-18,-1.49E-11,-1.08E-12,-2.01E-10,6.23E-13,-6.99E-16,3.35E-19,-5.78E-23,,,,,,,,,,,,
4,224,Friday,2,3.029307759,0.004269422,-2.02E-06,,,,,,,,,,,,,,,,,,
4,229,Saturday,8,10.09566732,-5.76E-18,7.66E-12,-8.49E-13,-1.68E-10,6.84E-13,-9.96E-16,6.30E-19,-1.47E-22,,,,,,,,,,,,
4,229,Sunday,2,8.834802678,0.009553777,-6.22E-06,,,,,,,,,,,,,,,,,,
4,230,Saturday,12,15.11159398,2.15E-47,3.80E-29,2.05E-34,-2.24E-37,9.81E-36,6.60E-33,3.91E-30,1.87E-27,5.65E-25,-1.28E-27,9.64E-31,-2.43E-34,,,,,,,,
4,231,Saturday,14,12.55436527,9.39E-60,-6.45E-36,-1.28E-39,-8.93E-44,3.22E-55,4.91E-45,3.69E-42,2.55E-39,1.56E-36,7.63E-34,2.35E-31,-5.25E-34,3.90E-37,-9.66E-41,,,,,,
4,231,Sunday,6,14.61268669,-5.84E-07,-8.04E-05,3.80E-07,-6.48E-10,4.72E-13,-1.25E-16,,,,,,,,,,,,,,
4,231,Wednesday,16,14.90148191,5.07E-72,1.94E-40,-2.41E-45,1.23E-49,1.33E-67,8.15E-57,4.93E-54,4.00E-51,3.06E-48,2.15E-45,1.32E-42,6.57E-40,2.05E-37,-4.64E-40,3.50E-43,-8.76E-47,,,,
4,231,Thursday,4,12.09353696,-0.025489221,0.000110356,-1.17E-07,3.63E-11,,,,,,,,,,,,,,,,
4,231,Friday,2,8.753775176,0.017714884,-9.49E-06,,,,,,,,,,,,,,,,,,
4,232,Saturday,2,6.133655005,-0.001345047,1.55E-06,,,,,,,,,,,,,,,,,,
4,232,Sunday,8,6.944395851,-6.82E-18,-2.40E-12,-8.94E-13,-1.69E-10,6.22E-13,-8.73E-16,5.48E-19,-1.29E-22,,,,,,,,,,,,
4,232,Monday,2,4.87210265,-0.001294373,2.65E-06,,,,,,,,,,,,,,,,,,
4,232,Tuesday,14,5.765250821,2.51E-60,-9.23E-36,6.03E-41,2.47E-45,-6.54E-57,1.73E-45,1.30E-42,9.02E-40,5.49E-37,2.68E-34,8.24E-32,-1.98E-34,1.57E-37,-4.15E-41,,,,,,
4,232,Wednesday,2,3.636178987,0.00607255,-3.30E-06,,,,,,,,,,,,,,,,,,
4,232,Thursday,10,6.359064693,1.67E-36,-5.81E-24,-1.45E-28,7.88E-28,4.56E-25,2.11E-22,6.12E-20,-1.45E-22,1.14E-25,-2.95E-29,,,,,,,,,,
4,232,Friday,2,3.832675685,0.007150489,-4.24E-06,,,,,,,,,,,,,,,,,,
4,233,Saturday,4,11.1635457,-0.025580842,3.77E-05,-7.45E-09,-4.50E-12,,,,,,,,,,,,,,,,
4,233,Sunday,4,10.34966768,-0.015108171,2.68E-05,-7.61E-09,-4.00E-12,,,,,,,,,,,,,,,,
4,233,Tuesday,4,10.42540097,0.005779653,-2.06E-05,2.84E-08,-1.24E-11,,,,,,,,,,,,,,,,
4,233,Wednesday,8,7.804097764,3.39E-17,5.46E-11,3.93E-12,7.09E-10,-2.73E-12,3.93E-15,-2.49E-18,5.83E-22,,,,,,,,,,,,
4,233,Thursday,2,1.666852517,0.027166269,-1.50E-05,,,,,,,,,,,,,,,,,,
