starting_point_id,dropping_point_id,pickup_time,dropoff_time,duration,pickup_time_sec
138,189,2019-03-01 00:13:53,2019-03-01 00:39:46,25,833
138,189,2019-03-01 12:53:33,2019-03-01 13:43:02,49,46413
138,189,2019-03-01 13:44:32,2019-03-01 14:21:07,36,49472
138,189,2019-03-01 13:29:08,2019-03-01 14:18:09,49,48548
138,189,2019-03-01 12:25:28,2019-03-01 13:08:41,43,44728
138,189,2019-03-01 14:30:01,2019-03-01 15:03:12,33,52201
138,189,2019-03-01 15:27:46,2019-03-01 16:25:57,58,55666
138,189,2019-03-01 16:39:58,2019-03-01 17:32:38,52,59998
138,189,2019-03-01 17:26:22,2019-03-01 18:17:28,51,62782
138,189,2019-03-01 17:49:56,2019-03-01 18:43:45,53,64196
138,189,2019-03-01 19:52:26,2019-03-01 20:32:45,40,71546
138,189,2019-03-01 20:45:36,2019-03-01 21:11:58,26,74736
138,189,2019-03-01 20:15:13,2019-03-01 20:47:34,32,72913
138,189,2019-03-01 20:00:50,2019-03-01 20:33:54,33,72050
138,189,2019-03-01 20:37:34,2019-03-01 21:08:50,31,74254
138,189,2019-03-01 21:59:03,2019-03-01 22:28:12,29,79143
138,189,2019-03-01 21:14:36,2019-03-01 21:39:01,24,76476
138,189,2019-03-01 23:17:14,2019-03-01 23:49:49,32,83834
138,189,2019-03-01 23:20:53,2019-03-01 23:43:33,22,84053
138,189,2019-03-02 00:23:57,2019-03-02 00:49:05,25,1437
138,189,2019-03-02 00:04:13,2019-03-02 00:31:22,27,253
138,189,2019-03-02 00:02:38,2019-03-02 00:28:05,25,158
138,189,2019-03-02 01:06:08,2019-03-02 01:36:14,30,3968
138,189,2019-03-02 01:07:15,2019-03-02 01:30:35,23,4035
138,189,2019-03-02 11:04:56,2019-03-02 11:43:00,38,39896
138,189,2019-03-02 12:53:39,2019-03-02 13:32:51,39,46419
138,189,2019-03-02 12:17:58,2019-03-02 13:00:10,42,44278
138,189,2019-03-02 12:47:33,2019-03-02 13:10:55,23,46053
138,189,2019-03-02 14:19:54,2019-03-02 14:54:05,34,51594
138,189,2019-03-02 15:47:15,2019-03-02 16:11:13,23,56835
138,189,2019-03-02 16:36:56,2019-03-02 17:24:41,47,59816
138,189,2019-03-02 17:08:51,2019-03-02 17:40:23,31,61731
138,189,2019-03-02 17:28:48,2019-03-02 18:00:38,31,62928
138,189,2019-03-02 18:08:08,2019-03-02 19:00:29,52,65288
138,189,2019-03-02 19:37:02,2019-03-02 20:05:55,28,70622
138,189,2019-03-02 20:20:15,2019-03-02 20:57:11,36,73215
138,189,2019-03-02 21:31:54,2019-03-02 21:58:19,26,77514
138,189,2019-03-02 22:11:14,2019-03-02 22:38:40,27,79874
138,189,2019-03-03 00:15:53,2019-03-03 00:41:02,25,953
138,189,2019-03-03 00:58:45,2019-03-03 01:25:53,27,3525
138,189,2019-03-03 10:43:50,2019-03-03 11:15:40,31,38630
138,189,2019-03-03 10:42:07,2019-03-03 11:03:08,21,38527
138,189,2019-03-03 12:48:35,2019-03-03 13:14:38,26,46115
138,189,2019-03-03 13:05:43,2019-03-03 13:33:01,27,47143
138,189,2019-03-03 14:53:09,2019-03-03 15:20:53,27,53589
138,189,2019-03-03 14:54:57,2019-03-03 15:39:14,44,53697
138,189,2019-03-03 15:31:00,2019-03-03 16:15:22,44,55860
138,189,2019-03-03 16:10:01,2019-03-03 16:54:25,44,58201
138,189,2019-03-03 17:40:53,2019-03-03 18:20:22,39,63653
138,189,2019-03-03 17:29:11,2019-03-03 18:10:15,41,62951
138,189,2019-03-03 17:49:04,2019-03-03 18:20:26,31,64144
138,189,2019-03-03 17:08:14,2019-03-03 17:51:40,43,61694
138,189,2019-03-03 19:10:01,2019-03-03 19:45:33,35,69001
138,189,2019-03-03 19:26:10,2019-03-03 19:56:53,30,69970
138,189,2019-03-03 20:23:32,2019-03-03 20:48:50,25,73412
138,189,2019-03-03 20:10:15,2019-03-03 20:40:46,30,72615
138,189,2019-03-03 20:49:12,2019-03-03 21:13:05,23,74952
138,189,2019-03-03 20:22:11,2019-03-03 20:56:54,34,73331
138,189,2019-03-03 22:42:29,2019-03-03 23:14:31,32,81749
138,189,2019-03-03 23:00:48,2019-03-03 23:24:51,24,82848
138,189,2019-03-04 00:03:03,2019-03-04 00:33:35,30,183
138,189,2019-03-04 00:22:32,2019-03-04 00:49:51,27,1352
